Hostname;RequestNumber;rootDispersion;DispOver8Req;Delay;Offset
3.de.pool.ntp.org;0;0.021820068;0.000000000;0.010113920;0.012069767
3.de.pool.ntp.org;1;0.021942139;0.000091906;0.010022014;0.012278233
3.de.pool.ntp.org;10;0.023040771;0.002996445;0.010207134;0.013248132
3.de.pool.ntp.org;11;0.023162842;0.002996445;0.010131416;0.013276567
3.de.pool.ntp.org;12;0.023284912;0.002996445;0.010226215;0.013437177
3.de.pool.ntp.org;13;0.023406982;0.003031425;0.009987034;0.013582526
3.de.pool.ntp.org;14;0.023513794;0.003031425;0.010071034;0.013650642
3.de.pool.ntp.org;15;0.023635864;0.003031425;0.010486990;0.013581797
3.de.pool.ntp.org;16;0.023757935;0.003031425;0.010501323;0.013797929
3.de.pool.ntp.org;17;0.023880005;0.003031425;0.010472223;0.013533357
3.de.pool.ntp.org;18;0.024002075;0.003031425;0.010092584;0.014055072
3.de.pool.ntp.org;19;0.024139404;0.003031425;0.010109546;0.014031794
3.de.pool.ntp.org;2;0.022064209;0.001509607;0.011531621;0.011145235
3.de.pool.ntp.org;20;0.024261475;0.003031425;0.010063297;0.014212000
3.de.pool.ntp.org;21;0.024368286;0.003031425;0.010201786;0.014257904
3.de.pool.ntp.org;22;0.024490356;0.003031425;0.010092016;0.014366964
3.de.pool.ntp.org;23;0.024612427;0.003031425;0.010304979;0.014299162
3.de.pool.ntp.org;24;0.024734497;0.003031425;0.010325663;0.014378326
3.de.pool.ntp.org;25;0.024856567;0.003031425;0.010472201;0.014981790
3.de.pool.ntp.org;26;0.024978638;0.003031425;0.010139204;0.014831214
3.de.pool.ntp.org;27;0.025100708;0.003031425;0.010064974;0.014884143
3.de.pool.ntp.org;28;0.025222778;0.003031425;0.010298898;0.015158228
3.de.pool.ntp.org;29;0.025329590;0.003031425;0.010111097;0.015034748
3.de.pool.ntp.org;3;0.022186279;0.001509607;0.010153564;0.012408473
3.de.pool.ntp.org;30;0.025451660;0.003031425;0.010362171;0.015480099
3.de.pool.ntp.org;31;0.025573730;0.003031425;0.010120822;0.015274559
3.de.pool.ntp.org;32;0.025711060;0.003031425;0.011255909;0.014835293
3.de.pool.ntp.org;33;0.025833130;0.003031425;0.010489846;0.015802301
3.de.pool.ntp.org;34;0.025955200;0.003031425;0.010205450;0.015434604
3.de.pool.ntp.org;35;0.026077271;0.003031425;0.010366783;0.015391969
3.de.pool.ntp.org;36;0.026184082;0.003031425;0.010064921;0.015823368
3.de.pool.ntp.org;37;0.026306152;0.003031425;0.010048743;0.015941061
3.de.pool.ntp.org;38;0.026428223;0.003031425;0.010010940;0.016002149
3.de.pool.ntp.org;39;0.026550293;0.003031425;0.010121245;0.016159865
3.de.pool.ntp.org;4;0.022308350;0.001509607;0.010153090;0.012427970
3.de.pool.ntp.org;40;0.026672363;0.003031425;0.010345311;0.015832666
3.de.pool.ntp.org;41;0.026794434;0.003031425;0.010432192;0.015871718
3.de.pool.ntp.org;42;0.026916504;0.003031425;0.010660096;0.013953497
3.de.pool.ntp.org;43;0.027023315;0.003031425;0.010426685;0.008548940
3.de.pool.ntp.org;44;0.027145386;0.003031425;0.010155873;0.005085608
3.de.pool.ntp.org;45;0.027282715;0.003031425;0.010107635;0.003020464
3.de.pool.ntp.org;46;0.027404785;0.004916203;0.014903237;-0.002941061
3.de.pool.ntp.org;47;0.027526855;0.004916203;0.010065044;0.001279412
3.de.pool.ntp.org;48;0.027648926;0.004916203;0.010257492;0.000777290
3.de.pool.ntp.org;49;0.027770996;0.004916203;0.010499208;0.001093410
3.de.pool.ntp.org;5;0.022445679;0.001509607;0.010181951;0.012621142
3.de.pool.ntp.org;50;0.027893066;0.004916203;0.010122142;0.000764081
3.de.pool.ntp.org;51;0.027999878;0.004916203;0.010031813;0.000845081
3.de.pool.ntp.org;52;0.028121948;0.004916203;0.010399013;0.000932673
3.de.pool.ntp.org;53;0.028244019;0.004916203;0.010808892;0.001377857
3.de.pool.ntp.org;54;0.028366089;0.004916203;0.010202121;0.000886287
3.de.pool.ntp.org;55;0.028488159;0.004916203;0.009992628;0.001146719
3.de.pool.ntp.org;56;0.028610229;0.004916203;0.010274849;0.001058932
3.de.pool.ntp.org;57;0.028732300;0.004916203;0.010091442;0.001325895
3.de.pool.ntp.org;58;0.028854370;0.004916203;0.010981717;0.001113207
3.de.pool.ntp.org;59;0.028976440;0.004916203;0.010312737;0.001404539
3.de.pool.ntp.org;6;0.022567749;0.001509607;0.010032360;0.012785681
3.de.pool.ntp.org;60;0.029098511;0.004916203;0.010063392;0.001550564
3.de.pool.ntp.org;61;0.029220581;0.004916203;0.010074098;0.001655473
3.de.pool.ntp.org;62;0.029342651;0.004916203;0.010060140;0.001760236
3.de.pool.ntp.org;63;0.029464722;0.004916203;0.010014105;0.001886759
3.de.pool.ntp.org;64;0.029586792;0.004916203;0.010337263;0.002304531
3.de.pool.ntp.org;65;0.029693604;0.004916203;0.010325780;0.001798872
3.de.pool.ntp.org;66;0.029815674;0.004916203;0.010328846;0.001831242
3.de.pool.ntp.org;67;0.029937744;0.004916203;0.010366810;0.002128470
3.de.pool.ntp.org;68;0.030059814;0.004916203;0.010001681;0.002348032
3.de.pool.ntp.org;69;0.030181885;0.004916203;0.010062573;0.002443976
3.de.pool.ntp.org;7;0.022674561;0.001509607;0.010523409;0.013116482
3.de.pool.ntp.org;70;0.030303955;0.004916203;0.010604722;0.001997543
3.de.pool.ntp.org;71;0.030441284;0.004916203;0.010351210;0.002794496
3.de.pool.ntp.org;72;0.030548096;0.004916203;0.009992649;0.002729274
3.de.pool.ntp.org;73;0.030670166;0.004916203;0.010184297;0.002810790
3.de.pool.ntp.org;74;0.030792236;0.004916203;0.010100848;0.002818888
3.de.pool.ntp.org;75;0.030914307;0.004916203;0.010016472;0.003021824
3.de.pool.ntp.org;76;0.031036377;0.004916203;0.010179335;0.003215420
3.de.pool.ntp.org;77;0.031158447;0.004916203;0.010211505;0.003005525
3.de.pool.ntp.org;78;0.031280518;0.004916203;0.010163316;0.003358154
3.de.pool.ntp.org;79;0.031402588;0.004916203;0.011126845;0.002861190
3.de.pool.ntp.org;8;0.022796631;0.001509607;0.010076776;0.013124551
3.de.pool.ntp.org;80;0.031509399;0.004916203;0.010316750;0.003218807
3.de.pool.ntp.org;81;0.031631470;0.004916203;0.010048122;0.003623545
3.de.pool.ntp.org;82;0.031753540;0.004916203;0.010263630;0.003933498
3.de.pool.ntp.org;83;0.031875610;0.004916203;0.010135247;0.003703770
3.de.pool.ntp.org;84;0.031997681;0.004916203;0.010042447;0.003872536
3.de.pool.ntp.org;85;0.032135010;0.004916203;0.010303153;0.003934153
3.de.pool.ntp.org;86;0.032257080;0.004916203;0.010038716;0.004062064
3.de.pool.ntp.org;87;0.032363892;0.004916203;0.010135147;0.004090914
3.de.pool.ntp.org;88;0.032485962;0.004916203;0.010533794;0.004343016
3.de.pool.ntp.org;89;0.032608032;0.004916203;0.010126954;0.004305655
3.de.pool.ntp.org;9;0.022918701;0.002996445;0.013018459;0.010412514
3.de.pool.ntp.org;90;0.032730103;0.004916203;0.010264557;0.004205998
3.de.pool.ntp.org;91;0.032852173;0.004916203;0.010025632;0.004538897
3.de.pool.ntp.org;92;0.032974243;0.004916203;0.010280779;0.004649706
3.de.pool.ntp.org;93;0.033096313;0.004916203;0.010029370;0.004842295
3.de.pool.ntp.org;94;0.033203125;0.004916203;0.010326636;0.005213096
3.de.pool.ntp.org;95;0.033325195;0.004916203;0.010356231;0.005338066
3.de.pool.ntp.org;96;0.033447266;0.004916203;0.010214063;0.005195173
3.de.pool.ntp.org;97;0.033569336;0.004916203;0.010463324;0.004691164
3.de.pool.ntp.org;98;0.033706665;0.004916203;0.010117975;0.005260150
3.de.pool.ntp.org;99;0.033828735;0.004918168;0.009985070;0.005410114
