seed=0l; %0=95.000000; %1=90.250000; %2=85.737503
iteration,% infected sim 0,% infected sim 1,% infected sim 2
188,0.021000,0.009000,0.058000
189,0.021000,0.009000,0.058000
190,0.021000,0.010000,0.059000
191,0.021000,0.010000,0.061000
192,0.021000,0.010000,0.061000
193,0.021000,0.010000,0.062000
194,0.021000,0.010000,0.063000
195,0.021000,0.010000,0.065000
196,0.021000,0.011000,0.065000
197,0.021000,0.011000,0.066000
198,0.021000,0.011000,0.068000
199,0.021000,0.011000,0.070000
200,0.022000,0.011000,0.070000
201,0.023000,0.011000,0.071000
202,0.025000,0.011000,0.072000
203,0.025000,0.011000,0.073000
204,0.025000,0.011000,0.073000
205,0.025000,0.011000,0.074000
206,0.025000,0.011000,0.076000
207,0.025000,0.012000,0.076000
208,0.025000,0.013000,0.078000
209,0.025000,0.013000,0.079000
210,0.025000,0.013000,0.080000
211,0.025000,0.014000,0.082000
212,0.025000,0.014000,0.082000
213,0.025000,0.014000,0.083000
214,0.025000,0.014000,0.084000
215,0.025000,0.014000,0.084000
216,0.025000,0.014000,0.087000
217,0.026000,0.015000,0.090000
218,0.026000,0.015000,0.091000
219,0.026000,0.015000,0.091000
220,0.026000,0.015000,0.091000
221,0.026000,0.016000,0.093000
222,0.026000,0.016000,0.095000
223,0.026000,0.016000,0.095000
224,0.027000,0.016000,0.096000
225,0.027000,0.016000,0.097000
226,0.027000,0.017000,0.097000
227,0.027000,0.017000,0.098000
228,0.027000,0.017000,0.099000
229,0.027000,0.017000,0.100000
230,0.027000,0.017000,0.101000
231,0.027000,0.017000,0.103000
232,0.027000,0.017000,0.104000
233,0.027000,0.017000,0.105000
234,0.027000,0.018000,0.105000
235,0.027000,0.018000,0.106000
236,0.027000,0.018000,0.108000
237,0.027000,0.018000,0.108000
238,0.027000,0.019000,0.108000
239,0.027000,0.019000,0.110000
240,0.027000,0.019000,0.110000
241,0.027000,0.019000,0.112000
242,0.027000,0.019000,0.113000
243,0.027000,0.019000,0.114000
244,0.027000,0.019000,0.117000
245,0.028000,0.020000,0.118000
246,0.028000,0.020000,0.119000
247,0.028000,0.020000,0.119000
248,0.028000,0.020000,0.122000
249,0.029000,0.020000,0.123000
250,0.030000,0.020000,0.123000
251,0.030000,0.020000,0.123000
252,0.031000,0.020000,0.125000
253,0.032000,0.021000,0.128000
254,0.033000,0.021000,0.129000
255,0.034000,0.022000,0.131000
256,0.034000,0.023000,0.133000
257,0.035000,0.023000,0.134000
258,0.035000,0.023000,0.134000
259,0.036000,0.023000,0.136000
260,0.036000,0.023000,0.137000
261,0.036000,0.024000,0.138000
262,0.036000,0.024000,0.142000
263,0.037000,0.024000,0.142000
264,0.037000,0.024000,0.142000
265,0.037000,0.025000,0.143000
266,0.037000,0.025000,0.144000
267,0.037000,0.025000,0.144000
268,0.037000,0.026000,0.144000
269,0.037000,0.026000,0.145000
270,0.038000,0.026000,0.145000
271,0.038000,0.027000,0.147000
272,0.038000,0.027000,0.148000
273,0.038000,0.027000,0.148000
274,0.038000,0.027000,0.148000
275,0.039000,0.028000,0.149000
276,0.039000,0.028000,0.151000
277,0.039000,0.028000,0.151000
278,0.039000,0.028000,0.153000
279,0.039000,0.028000,0.156000
280,0.039000,0.028000,0.158000
281,0.039000,0.028000,0.159000
282,0.039000,0.028000,0.161000
283,0.039000,0.028000,0.162000
284,0.039000,0.029000,0.164000
285,0.040000,0.030000,0.164000
286,0.040000,0.030000,0.166000
287,0.041000,0.030000,0.167000
288,0.041000,0.030000,0.169000
289,0.041000,0.030000,0.170000
290,0.041000,0.030000,0.171000
291,0.042000,0.031000,0.171000
292,0.042000,0.031000,0.171000
293,0.042000,0.031000,0.171000
294,0.042000,0.031000,0.172000
295,0.042000,0.031000,0.177000
296,0.043000,0.031000,0.181000
297,0.043000,0.031000,0.183000
298,0.043000,0.031000,0.184000
299,0.043000,0.031000,0.185000
300,0.043000,0.031000,0.186000
301,0.043000,0.031000,0.190000
302,0.044000,0.031000,0.192000
303,0.044000,0.031000,0.193000
304,0.044000,0.033000,0.196000
305,0.044000,0.033000,0.197000
306,0.044000,0.034000,0.197000
307,0.044000,0.034000,0.201000
308,0.044000,0.035000,0.203000
309,0.044000,0.035000,0.204000
310,0.044000,0.035000,0.208000
311,0.044000,0.035000,0.209000
312,0.044000,0.035000,0.210000
313,0.044000,0.035000,0.211000
314,0.045000,0.036000,0.213000
315,0.045000,0.037000,0.215000
316,0.046000,0.038000,0.221000
317,0.046000,0.038000,0.224000
318,0.046000,0.039000,0.224000
319,0.046000,0.041000,0.227000
320,0.046000,0.041000,0.228000
321,0.046000,0.041000,0.229000
322,0.046000,0.043000,0.230000
323,0.046000,0.043000,0.234000
324,0.047000,0.044000,0.236000
325,0.047000,0.045000,0.238000
326,0.047000,0.045000,0.240000
327,0.047000,0.046000,0.243000
328,0.047000,0.046000,0.249000
329,0.047000,0.046000,0.250000
330,0.047000,0.047000,0.252000
331,0.047000,0.047000,0.252000
332,0.048000,0.047000,0.254000
333,0.050000,0.047000,0.254000
334,0.050000,0.048000,0.256000
335,0.050000,0.048000,0.259000
336,0.050000,0.049000,0.259000
337,0.050000,0.049000,0.262000
338,0.052000,0.049000,0.265000
339,0.052000,0.049000,0.266000
340,0.052000,0.050000,0.267000
341,0.052000,0.050000,0.270000
342,0.052000,0.050000,0.274000
343,0.053000,0.051000,0.275000
344,0.053000,0.051000,0.279000
345,0.053000,0.051000,0.284000
346,0.053000,0.051000,0.287000
347,0.053000,0.053000,0.291000
348,0.053000,0.054000,0.292000
349,0.053000,0.054000,0.294000
350,0.053000,0.054000,0.294000
351,0.053000,0.055000,0.300000
352,0.053000,0.055000,0.302000
353,0.054000,0.055000,0.302000
354,0.054000,0.056000,0.305000
355,0.054000,0.058000,0.310000
356,0.054000,0.058000,0.311000
357,0.054000,0.058000,0.311000
358,0.054000,0.058000,0.313000
359,0.055000,0.058000,0.316000
360,0.056000,0.059000,0.320000
361,0.056000,0.060000,0.322000
362,0.056000,0.061000,0.323000
363,0.057000,0.061000,0.326000
364,0.058000,0.062000,0.329000
365,0.058000,0.062000,0.330000
366,0.059000,0.063000,0.331000
367,0.059000,0.064000,0.334000
368,0.059000,0.064000,0.339000
369,0.061000,0.064000,0.342000
370,0.061000,0.066000,0.345000
371,0.061000,0.066000,0.347000
372,0.061000,0.066000,0.348000
373,0.061000,0.068000,0.350000
374,0.062000,0.068000,0.354000
375,0.062000,0.069000,0.358000
376,0.062000,0.070000,0.359000
377,0.062000,0.070000,0.362000
378,0.062000,0.072000,0.362000
379,0.062000,0.073000,0.366000
380,0.062000,0.073000,0.368000
381,0.063000,0.074000,0.372000
382,0.066000,0.074000,0.372000
383,0.066000,0.074000,0.372000
384,0.066000,0.074000,0.374000
385,0.066000,0.074000,0.378000
386,0.067000,0.076000,0.382000
387,0.067000,0.076000,0.383000
388,0.067000,0.077000,0.387000
389,0.067000,0.077000,0.387000
390,0.067000,0.077000,0.388000
391,0.067000,0.077000,0.390000
392,0.067000,0.077000,0.394000
393,0.067000,0.078000,0.395000
394,0.068000,0.078000,0.396000
395,0.069000,0.078000,0.400000
396,0.069000,0.080000,0.406000
397,0.069000,0.081000,0.410000
398,0.070000,0.082000,0.413000
399,0.070000,0.083000,0.417000
400,0.070000,0.085000,0.421000
401,0.070000,0.086000,0.425000
402,0.073000,0.086000,0.426000
403,0.074000,0.087000,0.427000
404,0.075000,0.089000,0.428000
405,0.076000,0.091000,0.429000
406,0.076000,0.091000,0.432000
407,0.077000,0.093000,0.435000
408,0.077000,0.094000,0.439000
409,0.077000,0.095000,0.440000
410,0.077000,0.096000,0.441000
411,0.077000,0.096000,0.443000
412,0.077000,0.097000,0.445000
413,0.078000,0.097000,0.447000
414,0.079000,0.098000,0.451000
415,0.081000,0.099000,0.453000
416,0.081000,0.101000,0.456000
417,0.082000,0.103000,0.457000
418,0.082000,0.103000,0.457000
419,0.082000,0.105000,0.459000
420,0.082000,0.105000,0.460000
421,0.082000,0.106000,0.461000
422,0.083000,0.106000,0.466000
423,0.083000,0.106000,0.470000
424,0.083000,0.106000,0.472000
425,0.083000,0.108000,0.476000
426,0.084000,0.110000,0.478000
427,0.084000,0.111000,0.479000
428,0.084000,0.111000,0.483000
429,0.084000,0.111000,0.486000
430,0.084000,0.112000,0.488000
431,0.085000,0.112000,0.488000
432,0.085000,0.113000,0.491000
433,0.085000,0.114000,0.493000
434,0.085000,0.115000,0.493000
435,0.085000,0.117000,0.495000
436,0.085000,0.118000,0.497000
437,0.085000,0.119000,0.498000
438,0.085000,0.119000,0.501000
439,0.085000,0.120000,0.504000
440,0.085000,0.120000,0.504000
441,0.085000,0.121000,0.506000
442,0.085000,0.121000,0.510000
443,0.086000,0.121000,0.513000
444,0.087000,0.124000,0.517000
445,0.088000,0.126000,0.521000
