Hostname;RequestNumber;rootDispersion;DispOver8Req;Delay;Offset
1.de.pool.ntp.org;0;0.019836426;0.000000000;0.010090200;0.006030385
1.de.pool.ntp.org;1;0.019958496;0.000011785;0.010096092;0.006207022
1.de.pool.ntp.org;10;0.021057129;0.126109507;0.010084784;0.007184018
1.de.pool.ntp.org;11;0.021179199;0.126109507;0.010099560;0.007370858
1.de.pool.ntp.org;12;0.021301270;0.126109507;0.010016905;0.007490157
1.de.pool.ntp.org;13;0.021423340;0.126109507;0.010301789;0.007252059
1.de.pool.ntp.org;14;0.021545410;0.126125728;0.009965478;0.007680249
1.de.pool.ntp.org;15;0.021667480;0.126125728;0.010431623;0.008054136
1.de.pool.ntp.org;16;0.021789551;0.408416534;0.214173745;-0.196318790
1.de.pool.ntp.org;17;0.021911621;0.408416534;0.010153700;0.007853380
1.de.pool.ntp.org;18;0.022033691;0.408416534;0.010288366;0.008471068
1.de.pool.ntp.org;19;0.022155762;0.408416534;0.010027471;0.008252503
1.de.pool.ntp.org;2;0.020095825;0.125876285;0.073028342;0.069200446
1.de.pool.ntp.org;20;0.022277832;0.408416534;0.010068946;0.008233194
1.de.pool.ntp.org;21;0.022399902;0.408416534;0.010075984;0.008404544
1.de.pool.ntp.org;22;0.022521973;0.408416534;0.010055602;0.008455209
1.de.pool.ntp.org;23;0.022644043;0.408416534;0.010174462;0.008755379
1.de.pool.ntp.org;24;0.022781372;0.408416534;0.010039427;0.008706730
1.de.pool.ntp.org;25;0.022888184;0.408416534;0.010053239;0.008818299
1.de.pool.ntp.org;26;0.023010254;0.408416534;0.010151972;0.009012793
1.de.pool.ntp.org;27;0.023132324;0.408416534;0.010525675;0.009484471
1.de.pool.ntp.org;28;0.023254395;0.408416534;0.010120635;0.009098528
1.de.pool.ntp.org;29;0.023376465;0.408416534;0.010836880;0.009075342
1.de.pool.ntp.org;3;0.020202637;0.125876285;0.010469833;0.006065648
1.de.pool.ntp.org;30;0.023498535;0.408416534;0.010180398;0.009197799
1.de.pool.ntp.org;31;0.023620605;0.408416534;0.010127983;0.009490071
1.de.pool.ntp.org;32;0.023727417;0.408416534;0.010062970;0.009571109
1.de.pool.ntp.org;33;0.023849487;0.408416534;0.010051497;0.009683500
1.de.pool.ntp.org;34;0.023971558;0.408449537;0.009948977;0.009837064
1.de.pool.ntp.org;35;0.024093628;0.408449537;0.011156608;0.008801042
1.de.pool.ntp.org;36;0.024230957;0.408449537;0.011366202;0.010142725
1.de.pool.ntp.org;37;0.024353027;0.408449537;0.010101059;0.010052720
1.de.pool.ntp.org;38;0.024475098;0.408449537;0.010014378;0.010208241
1.de.pool.ntp.org;39;0.024581909;0.408449537;0.010021621;0.010348284
1.de.pool.ntp.org;4;0.020324707;0.126109507;0.009973589;0.006634560
1.de.pool.ntp.org;40;0.024703979;0.408449537;0.010124494;0.010346413
1.de.pool.ntp.org;41;0.024826050;0.408449537;0.010356792;0.010227409
1.de.pool.ntp.org;42;0.024948120;0.408449537;0.011268770;0.011566598
1.de.pool.ntp.org;43;0.025070190;0.408449537;0.010189737;0.010754119
1.de.pool.ntp.org;44;0.025192261;0.408449537;0.010237018;0.010826048
1.de.pool.ntp.org;45;0.025314331;0.408449537;0.010227213;0.010900498
1.de.pool.ntp.org;46;0.025436401;0.408449537;0.010178623;0.011054347
1.de.pool.ntp.org;47;0.025558472;0.408449537;0.010429310;0.011399232
1.de.pool.ntp.org;48;0.025680542;0.408449537;0.010245877;0.011288087
1.de.pool.ntp.org;49;0.025802612;0.408449537;0.010210594;0.011530138
1.de.pool.ntp.org;5;0.020446777;0.126109507;0.020584430;-0.003708788
1.de.pool.ntp.org;50;0.025924683;0.408449537;0.010592040;0.011532116
1.de.pool.ntp.org;51;0.026046753;0.408449537;0.010131772;0.011507234
1.de.pool.ntp.org;52;0.026168823;0.408449537;0.010044357;0.011622071
1.de.pool.ntp.org;53;0.026290894;0.408449537;0.010075092;0.011704163
1.de.pool.ntp.org;54;0.026397705;0.408449537;0.010070073;0.011865100
1.de.pool.ntp.org;55;0.026519775;0.408449537;0.010073165;0.011962406
1.de.pool.ntp.org;56;0.026641846;0.408449537;0.009992566;0.012087371
1.de.pool.ntp.org;57;0.026763916;0.408449537;0.010324302;0.012178069
1.de.pool.ntp.org;58;0.026901245;0.408449537;0.010094443;0.012249085
1.de.pool.ntp.org;59;0.027023315;0.408449537;0.009979260;0.012403268
1.de.pool.ntp.org;6;0.020568848;0.126109507;0.010086244;0.006742592
1.de.pool.ntp.org;60;0.027145386;0.408449537;0.010064981;0.012454997
1.de.pool.ntp.org;61;0.027252197;0.408449537;0.010176766;0.012489158
1.de.pool.ntp.org;62;0.027374268;0.408449537;0.010456799;0.013079085
1.de.pool.ntp.org;63;0.027496338;0.408449537;0.010388484;0.012403037
1.de.pool.ntp.org;64;0.027618408;0.408449537;0.010934594;0.011982683
1.de.pool.ntp.org;65;0.027740479;0.408449537;0.010195688;0.012989490
1.de.pool.ntp.org;66;0.027862549;0.408449537;0.010207907;0.012924407
1.de.pool.ntp.org;67;0.027984619;0.408449537;0.009956040;0.013231636
1.de.pool.ntp.org;68;0.028091431;0.408449537;0.010904437;0.013122986
1.de.pool.ntp.org;69;0.028213501;0.408449537;0.010604260;0.012957075
1.de.pool.ntp.org;7;0.020690918;0.126109507;0.010289127;0.006664314
1.de.pool.ntp.org;70;0.028350830;0.408449537;0.010071790;0.013636570
1.de.pool.ntp.org;71;0.028472900;0.408449537;0.010144731;0.013655789
1.de.pool.ntp.org;72;0.028594971;0.408449537;0.010581240;0.014316491
1.de.pool.ntp.org;73;0.028717041;0.408449537;0.010226497;0.013657942
1.de.pool.ntp.org;74;0.028839111;0.408449537;0.010641051;0.013822335
1.de.pool.ntp.org;75;0.028961182;0.408449537;0.010274754;0.014381135
1.de.pool.ntp.org;76;0.029067993;0.408505060;0.009921215;0.014200107
1.de.pool.ntp.org;77;0.029190063;0.408505060;0.009955635;0.014327150
1.de.pool.ntp.org;78;0.029312134;0.408505060;0.010019610;0.014383619
1.de.pool.ntp.org;79;0.029434204;0.408505060;0.010004504;0.014492132
1.de.pool.ntp.org;8;0.020812988;0.126109507;0.010078465;0.006982376
1.de.pool.ntp.org;80;0.029556274;0.408505060;0.010244349;0.014382129
1.de.pool.ntp.org;81;0.029678345;0.408505060;0.009958018;0.014858958
1.de.pool.ntp.org;82;0.029815674;0.408505060;0.009987802;0.014845248
1.de.pool.ntp.org;83;0.029922485;0.408505060;0.009997908;0.015062045
1.de.pool.ntp.org;84;0.030044556;0.408505060;0.010130145;0.009059227
1.de.pool.ntp.org;85;0.030166626;0.408505060;0.010074022;0.005740553
1.de.pool.ntp.org;86;0.030288696;0.408505060;0.010929652;0.002806680
1.de.pool.ntp.org;87;0.030410767;0.408505060;0.010398367;0.002117639
1.de.pool.ntp.org;88;0.030532837;0.408505060;0.010119546;0.001770026
1.de.pool.ntp.org;89;0.030654907;0.408505060;0.010414433;0.001874481
1.de.pool.ntp.org;9;0.020935059;0.126109507;0.010078909;0.007007492
1.de.pool.ntp.org;90;0.030776978;0.408505060;0.011941358;-0.000517465
1.de.pool.ntp.org;91;0.030899048;0.408505060;0.010241266;0.001149111
1.de.pool.ntp.org;92;0.031021118;0.408505060;0.010336690;0.001750702
1.de.pool.ntp.org;93;0.031143188;0.408505060;0.010047817;0.001422784
1.de.pool.ntp.org;94;0.031265259;0.408505060;0.010245965;0.001283427
1.de.pool.ntp.org;95;0.031387329;0.408505060;0.010078412;0.001493914
1.de.pool.ntp.org;96;0.031509399;0.408505060;0.010082614;0.001646735
1.de.pool.ntp.org;97;0.031631470;0.408505060;0.010676239;0.001896901
1.de.pool.ntp.org;98;0.031738281;0.408505060;0.027059290;-0.014973835
1.de.pool.ntp.org;99;0.031860352;0.408505060;0.010062462;0.001938949
