Hostname;RequestNumber;rootDispersion;DispOver8Req;Delay;Offset
0.de.pool.ntp.org;0;0.007324219;0.000000000;0.006900552;0.004986328
0.de.pool.ntp.org;1;0.007461548;0.000055982;0.006928543;0.005185365
0.de.pool.ntp.org;10;0.002700806;0.021525544;0.007106819;0.006429423
0.de.pool.ntp.org;11;0.002822876;0.021525544;0.007131143;0.006551234
0.de.pool.ntp.org;12;0.002944946;0.021525544;0.007406921;0.006348410
0.de.pool.ntp.org;13;0.003051758;0.021525544;0.007750782;0.006097817
0.de.pool.ntp.org;14;0.003173828;0.021525544;0.007141602;0.006857734
0.de.pool.ntp.org;15;0.003295898;0.021525544;0.007166952;0.007021876
0.de.pool.ntp.org;16;0.003417969;0.021752347;0.006787151;0.006888219
0.de.pool.ntp.org;17;0.003555298;0.230505231;0.122039767;0.098967014
0.de.pool.ntp.org;18;0.003677368;0.230505231;0.007140333;0.007326883
0.de.pool.ntp.org;19;0.003799438;0.230505231;0.006791733;0.007135470
0.de.pool.ntp.org;2;0.007583618;0.000677367;0.007239236;0.004933067
0.de.pool.ntp.org;20;0.003906250;0.230589402;0.006745066;0.007267669
0.de.pool.ntp.org;21;0.004028320;0.230589402;0.006822724;0.007319855
0.de.pool.ntp.org;22;0.004150391;0.230589402;0.007094305;0.007735613
0.de.pool.ntp.org;23;0.004287720;0.230589402;0.007132364;0.007860532
0.de.pool.ntp.org;24;0.004409790;0.230589402;0.007285717;0.008094865
0.de.pool.ntp.org;25;0.004531860;0.230589402;0.007127393;0.008079799
0.de.pool.ntp.org;26;0.004653931;0.230589402;0.007248229;0.008349429
0.de.pool.ntp.org;27;0.004760742;0.230589402;0.007280168;0.007910543
0.de.pool.ntp.org;28;0.004882812;0.230589402;0.007085904;0.008372806
0.de.pool.ntp.org;29;0.005004883;0.230589402;0.010189627;0.005418793
0.de.pool.ntp.org;3;0.007690430;0.001429243;0.007615174;0.005099344
0.de.pool.ntp.org;30;0.005126953;0.230589402;0.007121572;0.008593659
