Hostname;RequestNumber;rootDispersion;DispOver8Req;Delay;Offset
1.de.pool.ntp.org;0;0.000032;0.250017;0.024431;1.069315
1.de.pool.ntp.org;1;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;2;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;3;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;4;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;5;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;6;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;7;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;8;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;9;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;10;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;11;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;12;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;13;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;14;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;15;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;16;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;17;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;18;0.000000;0.000000;0.000000;0.000000
1.de.pool.ntp.org;19;0.000000;0.000000;0.000000;0.000000
